Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2016,hunter-niswander-1,/cfb/players/hunter-niswander-1.html,61,Hunter Niswander*,Northwestern,Big Ten,13,73,3015,41.3
2016,alex-kinney-1,/cfb/players/alex-kinney-1.html,62,Alex Kinney*,Colorado,Pac-12,14,72,2971,41.3
2016,ethan-wood-1,/cfb/players/ethan-wood-1.html,63,Ethan Wood*,Wyoming,MWC,14,70,2891,41.3
2016,nick-porebski-1,/cfb/players/nick-porebski-1.html,64,Nick Porebski,Oregon State,Pac-12,12,64,2643,41.3
2016,tanner-blain-1,/cfb/players/tanner-blain-1.html,65,Tanner Blain*,San Diego State,MWC,14,63,2602,41.3
2016,kyle-schmidt-1,/cfb/players/kyle-schmidt-1.html,66,Kyle Schmidt,Ball State,MAC,12,57,2354,41.3
2016,aj-cole-iii-1,/cfb/players/aj-cole-iii-1.html,67,A.J. Cole III*,North Carolina State,ACC,13,51,2104,41.3
2016,jonathan-hernandez-2,/cfb/players/jonathan-hernandez-2.html,68,Jonathan Hernandez*,South Florida,American,13,63,2597,41.2
2016,ron-coluzzi-1,/cfb/players/ron-coluzzi-1.html,69,Ron Coluzzi*,Iowa,Big Ten,13,75,3080,41.1
2016,colin-downing-1,/cfb/players/colin-downing-1.html,70,Colin Downing,Iowa State,Big 12,12,58,2381,41.1
2016,austin-seibert-1,/cfb/players/austin-seibert-1.html,71,Austin Seibert*,Oklahoma,Big 12,13,48,1975,41.1
2016,steve-brosy-1,/cfb/players/steve-brosy-1.html,72,Steve Brosy*,Air Force,MWC,13,48,1973,41.1
2016,dayton-balvanz-1,/cfb/players/dayton-balvanz-1.html,73,Dayton Balvanz,Louisiana-Monroe,Sun Belt,12,63,2586,41.0
2016,alan-luna-1,/cfb/players/alan-luna-1.html,74,Alan Luna,UTEP,CUSA,12,62,2542,41.0
2016,bentlee-critcher-1,/cfb/players/bentlee-critcher-1.html,75,Bentlee Critcher*,Appalachian State,Sun Belt,13,55,2255,41.0
2016,ryan-santoso-1,/cfb/players/ryan-santoso-1.html,76,Ryan Santoso*,Minnesota,Big Ten,13,77,3151,40.9
2016,ryan-kay-1,/cfb/players/ryan-kay-1.html,77,Ryan Kay*,Troy,Sun Belt,13,69,2820,40.9
2016,jake-hartbarger-1,/cfb/players/jake-hartbarger-1.html,78,Jake Hartbarger,Michigan State,Big Ten,12,54,2211,40.9
2016,austin-parker-2,/cfb/players/austin-parker-2.html,79,Austin Parker,Duke,ACC,7,38,1556,40.9
2016,michael-farkas-1,/cfb/players/michael-farkas-1.html,80,Michael Farkas*,Ohio,MAC,14,71,2895,40.8
2016,zachary-block-1,/cfb/players/zachary-block-1.html,81,Zachary Block,Tulane,American,11,68,2772,40.8
2016,jack-fox-1,/cfb/players/jack-fox-1.html,82,Jack Fox,Rice,CUSA,12,75,3051,40.7
2016,joe-schopper-1,/cfb/players/joe-schopper-1.html,83,Joe Schopper,Purdue,Big Ten,11,56,2277,40.7
2016,tristan-vizcaino-1,/cfb/players/tristan-vizcaino-1.html,84,Tristan Vizcaino*,Washington,Pac-12,14,51,2077,40.7
2016,dane-roy-1,/cfb/players/dane-roy-1.html,85,Dane Roy*,Houston,American,12,59,2397,40.6
2016,derek-adams-1,/cfb/players/derek-adams-1.html,86,Derek Adams,Kent State,MAC,12,76,3063,40.3
2016,joseph-gedeon-1,/cfb/players/joseph-gedeon-1.html,87,Joseph Gedeon*,Indiana,Big Ten,13,61,2457,40.3
2016,logan-tyler-1,/cfb/players/logan-tyler-1.html,88,Logan Tyler*,Florida State,ACC,13,54,2177,40.3
